Период;Google;Яндекс;Mail.ru;DuckDuckGo;Bing
2021-11-01;130;74;2;0;0
2021-11-02;121;86;1;0;0
2021-11-03;126;81;1;2;1
2021-11-04;125;99;1;0;1
2021-11-05;131;91;2;0;1
2021-11-06;112;64;1;0;2
2021-11-07;90;87;0;0;0
2021-11-08;116;85;0;0;0
2021-11-09;121;102;0;1;0
2021-11-10;108;92;0;0;1
2021-11-11;122;83;1;0;0
2021-11-12;129;73;1;0;0
2021-11-13;112;73;0;0;0
2021-11-14;102;89;0;0;0
2021-11-15;116;95;0;0;0
2021-11-16;108;87;1;0;0
2021-11-17;127;76;1;1;0
2021-11-18;143;92;1;0;0
2021-11-19;147;88;1;0;2
2021-11-20;140;112;1;1;0
2021-11-21;122;96;1;0;0
2021-11-22;135;111;1;0;1
2021-11-23;123;101;0;1;0
2021-11-24;142;88;0;2;0
2021-11-25;156;97;1;0;0
2021-11-26;144;90;3;0;0
2021-11-27;154;92;0;0;0
2021-11-28;129;90;1;0;0
2021-11-29;144;100;0;0;0
2021-11-30;144;92;1;1;0
