Период	Google				
2021-11-01	130				
2021-11-02	121				
2021-11-03	126				
2021-11-04	125				
2021-11-05	131				
2021-11-06	112				
2021-11-07	90				
2021-11-08	116				
2021-11-09	121				
2021-11-10	108				
2021-11-11	122				
2021-11-12	129				
2021-11-13	112				
2021-11-14	102				
2021-11-15	116				
2021-11-16	108				
2021-11-17	127				
2021-11-18	143				
2021-11-19	147				
2021-11-20	140				
2021-11-21	122				
2021-11-22	135				
2021-11-23	123				
2021-11-24	142				
2021-11-25	156				
2021-11-26	144				
2021-11-27	154				
2021-11-28	129				
2021-11-29	144				
2021-11-30	144				
